siteid,sitename,plotid,easting,northing,taxonid,scientificname,indvidualid,pointid,individualdistance,individualazimuth,dbh,dbhheight,basalcanopydiam,basalcanopydiam_90deg,maxcanopydiam,canopydiam_90deg,stemheight,stemremarks,stemstatus,canopyform,livingcanopy,inplotcanopy,materialsampleid,dbhqf,stemmapqf
SOAP,Soaproot Saddle,SOAP143,299849.6,4100424.8,ARVI4,Arctostaphylos viscida,1212,center,8.6,43.4,,130.0,7.0,5.0,0.7,0.6,0.9,3 stems,,Cone,95,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299177.4,4100959.2,ARVI4,Arctostaphylos viscida,84,center,5.5,198.4,0.0,0.0,21.0,22.0,4.6,4.0,2.6,sphere 60 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1611,297435.7,4100582.2,ARVI4,Arctostaphylos viscida,73,center,12.1,312.8,0.0,0.0,52.0,10.0,1.7,2.0,1.4,hemi 30 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP283,297780.0,4101205.5,ARVI4,Arctostaphylos viscida,48,center,5.8,110.7,4.4,4.6,31.0,28.0,0.0,0.0,2.3,hemi 0 live,snag,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP143,299836.6,4100409.5,ARVI4,Arctostaphylos viscida,1150,center,11.6,217.9,,130.0,10.0,9.0,0.6,0.5,1.3,4 stems,,Cone,100,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299176.4,4100957.8,ARVI4,Arctostaphylos viscida,104,center,7.2,202.2,0.0,0.0,5.0,7.0,0.8,1.0,1.0,cone 70 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP139,297036.6,4100086.8,ARVI4,Arctostaphylos viscida,316,SW,4.0,42.3,3.4,10.0,0.0,0.0,0.7,0.8,1.1,,,Cone,0,100,,0,0
SOAP,Soaproot Saddle,SOAP139,297053.3,4100101.2,ARVI4,Arctostaphylos viscida,356,center,9.1,17.6,2.0,10.0,0.0,0.0,30.0,10.0,1.1,,dead w branches,Cone,0,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297516.0,4101247.8,ARVI4,Arctostaphylos viscida,9,SE,2.2,279.3,6.7,1.0,17.0,8.0,1.4,1.2,2.3,1 stem,,Hemisphere,95,100,,0,1
SOAP,Soaproot Saddle,SOAP1343,299606.0,4100965.5,ARVI4,Arctostaphylos viscida,780,center,10.8,126.7,,130.0,38.0,31.0,1.9,1.8,0.9,,,Sphere,0,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299175.4,4100962.5,ARVI4,Arctostaphylos viscida,81,center,4.2,242.4,0.0,0.0,94.0,58.0,1.0,0.0,0.9,hemi 45 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP143,299839.6,4100420.2,ARVI4,Arctostaphylos viscida,1231,center,4.5,293.7,,130.0,5.0,2.0,0.3,0.3,0.8,2 stems,,Cylinder,100,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299850.2,4100426.5,ARVI4,Arctostaphylos viscida,1211,center,10.2,39.8,1.4,10.0,0.0,0.0,0.3,0.3,0.9,,dead,Cone,0,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297513.0,4101264.2,ARVI4,Arctostaphylos viscida,13,center,8.3,34.6,,130.0,38.0,35.0,3.7,3.6,2.1,23 stems (5.4;6.1;4.0;5.5;5.1;6.0;4.4;4.4;2.0;8.4;3.7;5.6;3.0;14.7;5.7;3.6;7.0;2.9;4.9;3.7;3.2;2.8;2.2),,Sphere,40,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299852.9,4100423.0,ARVI4,Arctostaphylos viscida,1207,center,10.3,63.7,,130.0,10.0,9.0,1.3,1.1,2.7,4 stems,,Cylinder,95,100,,0,1
SOAP,Soaproot Saddle,SOAP139,297036.6,4100085.0,ARVI4,Arctostaphylos viscida,317,SW,2.9,66.8,,130.0,10.0,9.0,0.7,0.5,1.5,3 stems,,Cylinder,0,100,,0,0
SOAP,Soaproot Saddle,SOAP63,299823.2,4101019.5,ARVI4,Arctostaphylos viscida,839,SE,5.4,354.3,,130.0,61.0,23.0,4.8,4.3,2.5,2 stems old dead,dead w no small branches,,0,100,,0,1
SOAP,Soaproot Saddle,SOAP1563,297704.6,4101217.0,ARVI4,Arctostaphylos viscida,35,center,6.8,155.8,0.0,0.0,36.0,52.0,3.1,2.0,1.9,f109 hemi 15dead,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1563,297698.6,4101215.5,ARVI4,Arctostaphylos viscida,31,center,8.4,202.2,0.0,0.0,12.0,8.0,1.2,1.0,0.8,cone 10 dead,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1343,299606.6,4100963.0,ARVI4,Arctostaphylos viscida,779,center,12.8,133.8,,130.0,28.0,24.0,2.8,2.1,2.4,3 stems,,Sphere,100,100,,0,0
SOAP,Soaproot Saddle,SOAP1611,297437.6,4100577.5,ARVI4,Arctostaphylos viscida,72,center,7.8,296.4,0.0,0.0,18.0,10.0,1.9,2.0,1.3,cone 80 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP223,299303.3,4101465.0,ARVI4,Arctostaphylos viscida,1010,SE,0.9,321.3,,130.0,6.0,5.0,1.7,1.4,1.2,,2 stems,Cylinder,60,100,,0,1
SOAP,Soaproot Saddle,SOAP283,297768.2,4101213.0,ARVI4,Arctostaphylos viscida,62,center,8.4,310.4,0.0,0.0,30.0,14.0,1.3,2.0,1.8,cone 60 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP139,297048.7,4100102.0,ARVI4,Arctostaphylos viscida,417,center,9.6,349.2,,130.0,50.0,60.0,1.8,2.7,2.2,,11 stems,Sphere,25,100,,0,0
SOAP,Soaproot Saddle,SOAP1563,297692.6,4101232.0,ARVI4,Arctostaphylos viscida,44,NW,1.3,162.6,0.0,0.0,6.0,8.0,1.0,1.0,0.0,cone 25 dead,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1695,299177.8,4100960.0,ARVI4,Arctostaphylos viscida,83,center,4.5,197.4,0.0,0.0,9.0,6.0,3.3,2.0,2.3,hemi 10 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP223,299295.9,4101475.5,ARVI4,Arctostaphylos viscida,1014,center,2.2,47.0,,130.0,31.0,28.0,2.1,1.7,1.5,3 stems,,Cone,40,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299834.8,4100412.2,ARVI4,Arctostaphylos viscida,135,center,10.9,234.3,,130.0,8.0,3.0,1.3,0.6,1.0,2 stems,,Hemisphere,100,100,,0,0
SOAP,Soaproot Saddle,SOAP1563,297702.9,4101217.0,ARVI4,Arctostaphylos viscida,32,center,6.2,169.5,0.0,0.0,47.0,18.0,3.2,3.0,1.7,hemi 17 dead,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP143,299838.7,4100410.0,ARVI4,Arctostaphylos viscida,1147,center,9.8,210.8,,130.0,4.0,2.0,0.6,0.5,0.6,3 stems,,Hemisphere,100,100,,0,0
SOAP,Soaproot Saddle,SOAP255,300146.1,4101384.0,ARVI4,Arctostaphylos viscida,1297,center,6.2,23.2,,130.0,71.0,49.0,4.2,1.9,1.6,5 stems,long dead,Hemisphere,0,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299835.6,4100412.0,ARVI4,Arctostaphylos viscida,136,center,10.3,231.6,,130.0,9.0,6.0,0.4,0.4,0.9,3 stems,,Cylinder,100,100,,0,0
SOAP,Soaproot Saddle,SOAP255,300152.6,4101374.0,ARVI4,Arctostaphylos viscida,1258,SE,6.7,351.1,11.2,10.0,0.0,0.0,3.6,2.4,2.7,,long dead,Cone,0,100,,0,0
SOAP,Soaproot Saddle,SOAP1563,297703.6,4101218.0,ARVI4,Arctostaphylos viscida,34,center,5.5,160.8,0.0,0.0,38.0,76.0,3.9,3.0,1.5,100 dead hemi,snag,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP255,300145.9,4101377.5,ARVI4,Arctostaphylos viscida,1274,center,2.3,108.4,,130.0,62.0,15.0,7.2,6.2,3.7,4 stems,long dead,Hemisphere,0,100,,0,0
SOAP,Soaproot Saddle,SOAP139,297045.4,4100094.0,ARVI4,Arctostaphylos viscida,375,center,5.3,283.4,,130.0,22.0,7.0,2.0,1.2,1.6,3 stems,dead w branches,Sphere,0,100,,0,0
SOAP,Soaproot Saddle,SOAP63,299806.6,4101018.0,ARVI4,Arctostaphylos viscida,815,SW,6.0,35.7,14.6,10.0,0.0,0.0,2.0,1.6,2.9,,dead no sml branches,,0,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299178.4,4100955.8,ARVI4,Arctostaphylos viscida,108,center,8.7,184.7,0.0,0.0,17.0,12.0,2.7,3.0,3.5,cone 80 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1695,299187.7,4100973.2,ARVI4,Arctostaphylos viscida,123,center,12.3,44.2,,130.0,9.0,6.0,1.3,0.9,1.2,,snag,Cone,0,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297515.7,4101264.5,ARVI4,Arctostaphylos viscida,15,center,10.2,46.2,,130.0,22.0,17.0,3.5,2.4,1.9,10 stems (ddh's = 2.3; 7.1; 2.9; 2.8; 6.8; 3.4; 4.6; 8.4; 1.5; 4.6),,Cone,85,100,,0,0
SOAP,Soaproot Saddle,SOAP1563,297702.6,4101218.8,ARVI4,Arctostaphylos viscida,33,center,4.5,170.3,0.0,0.0,34.0,8.0,1.3,1.0,0.5,hemi 100 dead,snag,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1563,297694.4,4101214.5,ARVI4,Arctostaphylos viscida,30,center,11.5,220.4,0.0,0.0,90.0,42.0,1.8,2.0,1.4,hemi 100 dead,dead snag,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP143,299839.0,4100411.0,ARVI4,Arctostaphylos viscida,1146,center,9.0,211.6,2.5,10.0,0.0,0.0,0.6,0.5,0.8,,,Hemisphere,100,100,,0,0
SOAP,Soaproot Saddle,SOAP1343,299605.0,4100970.0,ARVI4,Arctostaphylos viscida,775,center,7.8,102.9,,130.0,58.0,21.0,4.2,2.2,1.9,3 stems,,Hemisphere,65,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299170.9,4100970.5,ARVI4,Arctostaphylos viscida,158,center,10.3,307.1,,130.0,18.0,28.0,2.2,1.9,2.0,,,Sphere,90,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299848.7,4100421.5,ARVI4,Arctostaphylos viscida,1189,center,5.8,60.2,,130.0,8.0,4.0,1.2,0.6,1.2,,,Cone,95,100,,0,0
SOAP,Soaproot Saddle,SOAP1611,297440.0,4100578.0,ARVI4,Arctostaphylos viscida,70,center,6.1,311.5,0.0,0.0,1.1,0.4,4.1,3.0,1.3,hemi 60 live,old and gnarly,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1563,297707.3,4101219.5,ARVI4,Arctostaphylos viscida,37,center,6.6,123.8,0.0,0.0,13.0,8.0,0.5,0.0,0.5,cone 0 dead,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1515,297514.3,4101259.8,ARVI4,Arctostaphylos viscida,10,center,6.4,69.2,16.6,1.0,18.0,16.0,2.5,2.2,1.5,1 stem,,Hemisphere,90,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299188.5,4100970.5,ARVI4,Arctostaphylos viscida,121,center,11.2,56.9,,130.0,59.0,24.0,2.9,4.0,4.2,,,Hemisphere,75,80,,0,0
SOAP,Soaproot Saddle,SOAP1563,297696.8,4101231.0,ARVI4,Arctostaphylos viscida,43,NW,5.0,114.0,0.0,0.0,4.0,8.0,1.4,1.0,0.9,cone 90dead,sick,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP255,300147.6,4101386.5,ARVI4,Arctostaphylos viscida,1296,center,9.1,25.1,,130.0,21.0,10.0,3.0,2.0,0.8,2 stems,long dead,Hemisphere,0,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299833.8,4100413.5,ARVI4,Arctostaphylos viscida,132,center,11.1,242.5,3.7,10.0,0.0,0.0,0.8,0.7,1.5,,,Hemisphere,100,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299174.7,4100970.2,ARVI4,Arctostaphylos viscida,154,center,7.4,323.2,,130.0,27.0,29.0,46.0,3.5,2.5,,,Sphere,70,100,,0,0
SOAP,Soaproot Saddle,SOAP255,300139.8,4101377.5,ARVI4,Arctostaphylos viscida,1244,center,4.0,257.6,,130.0,20.0,18.0,3.0,2.9,1.5,4 stems,long dead,Hemisphere,0,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299169.7,4100968.5,ARVI4,Arctostaphylos viscida,180,NW,6.3,177.2,,130.0,14.0,26.0,2.8,2.0,2.8,,,Cone,80,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297514.5,4101249.0,ARVI4,Arctostaphylos viscida,7,center,10.5,144.2,12.5,3.0,43.0,23.0,1.9,1.5,1.7,1 stem,,Cone,80,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297508.4,4101260.0,ARVI4,Arctostaphylos viscida,20,center,2.7,1.5,20.5,1.0,21.0,19.0,3.1,2.9,2.0,,1 stem,Hemisphere,95,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299851.3,4100422.8,ARVI4,Arctostaphylos viscida,1205,center,8.7,61.4,3.4,10.0,0.0,0.0,0.9,0.8,2.1,,,Cone,90,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299176.6,4100955.5,ARVI4,Arctostaphylos viscida,106,center,9.2,195.6,0.0,0.0,30.0,44.0,4.3,3.0,2.7,hemi 0 live,snag,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP139,297046.0,4100097.2,ARVI4,Arctostaphylos viscida,378,center,6.5,316.0,3.2,10.0,0.0,0.0,0.9,0.8,2.5,,,Cone,65,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299852.1,4100423.0,ARVI4,Arctostaphylos viscida,1206,center,9.6,61.5,,130.0,14.0,8.0,1.6,1.3,2.0,3 stems,,Cone,95,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299178.7,4100970.0,ARVI4,Arctostaphylos viscida,149,center,5.7,355.9,,130.0,22.0,27.0,3.3,2.0,2.7,,,Sphere,55,100,,0,0
SOAP,Soaproot Saddle,SOAP555,297112.8,4100913.0,ARVI4,Arctostaphylos viscida,78,SE,12.7,272.2,0.0,0.0,110.0,20.0,2.3,1.0,1.0,hemi 0 live,snag,NA,,,NA,0,1
SOAP,Soaproot Saddle,SOAP255,300145.3,4101387.0,ARVI4,Arctostaphylos viscida,1295,center,8.8,10.6,,130.0,55.0,32.0,3.8,3.1,3.2,3 stems,,Cone,30,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299173.5,4100967.0,ARVI4,Arctostaphylos viscida,168,center,6.2,295.5,,130.0,10.0,8.0,2.5,1.9,2.5,,,Sphere,100,65,,0,0
SOAP,Soaproot Saddle,SOAP255,300134.4,4101384.8,CADE27,Calocedrus decurrens,1331,NW,1.8,171.7,1.1,130.0,0.0,0.0,1.2,1.0,1.9,,,,100,100,,0,0
SOAP,Soaproot Saddle,SOAP255,300153.1,4101371.0,ARVI4,Arctostaphylos viscida,1256,SE,3.8,352.4,,130.0,50.0,27.0,5.3,4.8,1.1,6 stems,long dead,Hemisphere,0,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299171.1,4100966.8,ARVI4,Arctostaphylos viscida,181,center,8.3,286.2,,130.0,8.0,5.0,1.9,0.8,2.0,,,Cone,70,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299170.1,4100967.5,ARVI4,Arctostaphylos viscida,179,NW,7.1,174.7,,130.0,5.0,3.0,0.7,0.6,0.6,,,Cylinder,85,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299169.7,4100955.0,ARVI4,Arctostaphylos viscida,102,SW,0.7,87.4,0.0,0.0,27.0,36.0,2.4,2.0,2.1,hemi 70 live,,NA,,,NA,0,1
SOAP,Soaproot Saddle,SOAP1611,297438.9,4100579.0,ARVI4,Arctostaphylos viscida,71,center,7.6,311.6,0.0,0.0,18.0,23.0,1.4,2.0,1.4,hemi 0 live,snag,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1695,299182.5,4100954.2,ARVI4,Arctostaphylos viscida,118,SE,6.3,272.5,0.0,0.0,70.0,32.0,2.5,3.0,2.7,sphere 65 live,,NA,,,NA,0,1
SOAP,Soaproot Saddle,SOAP139,297047.3,4100096.2,ARVI4,Arctostaphylos viscida,376,center,4.8,318.4,,130.0,40.0,39.0,1.1,1.1,1.8,7 stems,dead w branches,Sphere,100,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299187.5,4100972.5,ARVI4,Arctostaphylos viscida,122,center,11.7,46.0,,130.0,12.0,28.0,6.9,4.6,3.8,,,Sphere,60,85,,0,0
SOAP,Soaproot Saddle,SOAP223,299303.8,4101468.8,ARVI4,Arctostaphylos viscida,1012,SE,4.6,359.8,10.2,10.0,0.0,0.0,3.6,2.0,1.6,,,Cone,70,100,,0,0
SOAP,Soaproot Saddle,SOAP139,297036.5,4100090.0,ARVI4,Arctostaphylos viscida,313,SW,6.6,22.9,,130.0,13.0,6.0,0.9,0.9,1.9,4 stems,,Cone,90,100,,0,0
SOAP,Soaproot Saddle,SOAP1343,299599.5,4100980.5,ARVI4,Arctostaphylos viscida,785,center,8.9,13.8,,130.0,140.0,80.0,3.4,2.9,2.7,6 stems,,Hemisphere,30,100,,0,0
SOAP,Soaproot Saddle,SOAP1563,297696.9,4101219.2,ARVI4,Arctostaphylos viscida,29,center,6.3,231.9,0.0,0.0,28.0,30.0,2.4,3.0,1.2,hemisphere 20 dead f108,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP223,299301.2,4101476.5,ARVI4,Arctostaphylos viscida,1018,center,7.4,69.3,,130.0,8.0,3.0,1.3,1.2,1.3,2 stems,,Cone,40,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297514.5,4101252.2,ARVI4,Arctostaphylos viscida,4,center,8.0,129.7,10.5,1.0,11.0,10.0,2.5,1.5,1.6,,,Hemisphere,95,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297514.0,4101249.0,ARVI4,Arctostaphylos viscida,6,center,10.1,145.9,17.0,1.0,20.0,16.0,3.1,2.3,2.2,1 stem,,Hemisphere,75,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297514.1,4101250.0,ARVI4,Arctostaphylos viscida,5,center,9.3,141.5,,130.0,117.0,38.0,5.4,4.3,3.4,5 stems (ddh's = 18.1; 8.7; 8.8; 32.5; 15.4),,Hemisphere,60,100,,0,0
SOAP,Soaproot Saddle,SOAP283,297772.4,4101207.5,ARVI4,Arctostaphylos viscida,47,center,2.2,266.3,0.0,0.0,8.0,3.0,0.4,0.0,0.6,cone 95 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP143,299836.7,4100409.0,ARVI4,Arctostaphylos viscida,1151,center,11.9,216.2,,130.0,31.0,6.0,0.6,0.3,0.8,5 stems,,Cylinder,100,100,,0,0
SOAP,Soaproot Saddle,SOAP1695,299184.4,4100954.5,ARVI4,Arctostaphylos viscida,117,SE,4.4,274.8,0.0,0.0,25.0,27.0,3.7,3.0,2.6,f143 hemi 70 live,,NA,,,NA,0,1
SOAP,Soaproot Saddle,SOAP1695,299178.3,4100957.0,ARVI4,Arctostaphylos viscida,107,center,7.5,186.6,0.0,0.0,32.0,13.0,3.5,2.0,2.5,sphere 30 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1695,299183.4,4100963.5,ARVI4,Arctostaphylos viscida,120,center,4.4,101.3,0.0,0.0,10.0,6.0,1.3,2.0,1.5,sphere 90 live,,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP1343,299598.0,4100976.8,ARVI4,Arctostaphylos viscida,786,center,4.8,7.1,,130.0,50.0,47.0,5.1,4.7,3.1,7 stems,,Sphere,70,100,f135,0,0
SOAP,Soaproot Saddle,SOAP1515,297514.9,4101262.0,ARVI4,Arctostaphylos viscida,12,center,8.1,54.4,24.0,1.0,23.0,20.0,3.4,2.8,2.4,1 stem,many brown lvs,Sphere,85,100,,0,0
SOAP,Soaproot Saddle,SOAP139,297037.1,4100087.0,ARVI4,Arctostaphylos viscida,315,SW,4.5,44.2,22.7,10.0,0.0,0.0,0.8,0.6,1.3,,,Cone,100,90,,0,0
SOAP,Soaproot Saddle,SOAP1515,297515.3,4101264.2,ARVI4,Arctostaphylos viscida,16,center,9.7,45.8,,130.0,32.0,28.0,3.1,1.8,1.7,8 stems (ddh's = 4.5; 4.6; 5.0; 3.3; 4.8; 2.2; 2.4; 3.0),,Cone,80,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297517.1,4101265.5,ARVI4,Arctostaphylos viscida,18,NE,2.6,221.7,,130.0,32.0,30.0,3.1,2.0,1.7,15 stems (dba's = 4.2; 5.1; 4.3; 2.5; 3.5; 1.9; 3.2; 2.5; 4.3; 5.1; 4.5; 3.3; 4.6; 5.0; 4.5),,Hemisphere,40,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299837.0,4100411.5,ARVI4,Arctostaphylos viscida,137,center,9.8,223.1,,130.0,16.0,9.0,0.9,0.8,0.9,3 stems,,Hemisphere,100,100,,0,0
SOAP,Soaproot Saddle,SOAP1515,297517.6,4101264.5,ARVI4,Arctostaphylos viscida,19,NE,3.0,205.3,,130.0,21.0,24.0,2.1,1.8,1.7,5 stems (dba's = 6.8; 8.3; 1.8; 4.1; 4.5),,Cone,95,100,,0,0
SOAP,Soaproot Saddle,SOAP223,299300.6,4101480.0,ARVI4,Arctostaphylos viscida,1020,center,8.8,46.4,1.1,10.0,0.0,0.0,0.3,0.2,0.5,,,Cone,100,100,,0,0
SOAP,Soaproot Saddle,SOAP1611,297449.9,4100581.0,ARVI4,Arctostaphylos viscida,69,center,8.9,36.7,0.0,0.0,36.0,28.0,1.4,2.0,0.6,hemi 0 live,snag,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP139,297055.3,4100083.0,ARVI4,Arctostaphylos viscida,322,center,10.9,153.7,,130.0,60.0,30.0,3.4,3.0,2.8,4 stems,dead w branches,Cone,0,100,,0,1
SOAP,Soaproot Saddle,SOAP1515,297514.4,4101247.8,ARVI4,Arctostaphylos viscida,8,SE,3.7,274.9,5.9,1.0,12.0,3.0,1.3,1.0,1.8,1 stem,,Cone,90,100,,0,1
SOAP,Soaproot Saddle,SOAP1695,299177.6,4100958.2,ARVI4,Arctostaphylos viscida,105,center,6.4,193.8,0.0,0.0,15.0,18.0,1.0,1.0,1.6,0 live hemi,snag,NA,,,NA,0,0
SOAP,Soaproot Saddle,SOAP139,297039.8,4100096.5,ARVI4,Arctostaphylos viscida,377,SW,14.1,24.4,,130.0,20.0,21.0,0.7,0.8,1.8,4 stems,dead w branches,Sphere,0,100,,0,0
SOAP,Soaproot Saddle,SOAP143,299838.3,4100410.5,ARVI4,Arctostaphylos viscida,1144,center,9.6,214.3,1.4,10.0,0.0,0.0,0.7,0.4,0.6,,,Hemisphere,100,100,,0,0
